2014-07-20, 21:07:24, AAA1786, 192.168.0.8,  Requested Time :: <b>Sun 20 Jul 2014 12:07:00</b> Can not be earlier then :: Sun 20 Jul 2014 21:07:23, takeaway.php, 51, 
2014-07-20, 21:07:35, AAA1786, 192.168.0.8,  Requested Time :: <b>Sun 20 Jul 2014 14:07:00</b> Can not be earlier then :: Sun 20 Jul 2014 21:07:34, takeaway.php, 51, 
2014-07-20, 21:07:44, AAA1786, 192.168.0.8,  Requested Time :: <b>Sun 20 Jul 2014 14:07:00</b> Can not be earlier then :: Sun 20 Jul 2014 21:07:43, takeaway.php, 51, 
2014-07-20, 21:08:19, AAA1786, 192.168.0.8,  Requested Time :: <b>Sun 20 Jul 2014 14:07:00</b> Can not be earlier then :: Sun 20 Jul 2014 21:07:18, takeaway.php, 51, 
2014-07-20, 21:09:38, AAA1786, 192.168.0.8,  Requested Time :: <b>Sun 20 Jul 2014 14:07:00</b> Can not be earlier then :: Sun 20 Jul 2014 21:07:37, takeaway.php, 51, 
2014-07-20, 21:19:55, AAA1786, 192.168.0.8, Your cart is empty!! Please add some food in your cart.<br />, takeaway.php, 51, 
2014-07-20, 21:22:21, AAA1786, 192.168.0.8, HOUSE NO Cannot be empty <br />POSTCODE Cannot be empty <br />ADDRESS LINE 1 Cannot be empty <br />TOWN Cannot be empty <br />, takeaway.php, 51, 
2014-07-20, 21:26:19, AAA1786, 192.168.0.8,  Requested Time :: <b>Sun 20 Jul 2014 12:07:00</b> Can not be earlier then :: Sun 20 Jul 2014 21:07:19, takeaway.php, 51, 
2014-07-20, 21:26:46, AAA1786, 192.168.0.8, Your cart is empty!! Please add some food in your cart.<br />, takeaway.php, 51, 
2014-07-20, 21:27:14, AAA1786, 192.168.0.8,  Requested Time :: <b>Sun 20 Jul 2014 12:07:00</b> Can not be earlier then :: Sun 20 Jul 2014 21:07:14, takeaway.php, 51, 
2014-07-20, 21:36:03, AAA1786, 192.168.0.8,  Requested Time :: <b>Sun 20 Jul 2014 12:07:00</b> Can not be earlier then :: Sun 20 Jul 2014 21:07:03, takeaway.php, 51, 
2014-07-26, 17:32:46, AAA1786, 127.0.0.1, Paypal :: ENGINEERING :: PaymentAction : Required parameter missing, takeaway.php, 51, 
2014-07-26, 17:32:57, AAA1786, 127.0.0.1,  Requested Time :: <b>Sat 26 Jul 2014 12:07:00</b> Can not be earlier then :: Sat 26 Jul 2014 17:07:56, takeaway.php, 51, 
2014-07-26, 18:17:21, AAA1786, 127.0.0.1, Paypal :: ENGINEERING :: PaymentAction : Required parameter missing, takeaway.php, 51, 
2014-07-26, 18:38:32, AAA1786, 127.0.0.1, Paypal :: ENGINEERING :: Timeout processing request, takeaway.php, 51, 
2014-07-26, 18:38:34, AAA1786, 127.0.0.1, Paypal :: ENGINEERING :: Timeout processing request, takeaway.php, 51, 
